name,team,statsId,network,handle,alias,rss
Rob Holding,Arsenal,,twitter,RobHolding95,,
Carl Jenkinson,Arsenal,569164,twitter,carljenkinson,,
Gabriel Paulista,Arsenal,,twitter,gpaulista5,,
Laurent Koscielny,Arsenal,459434,twitter,6_LKOSCIELNY,,
Danny Welbeck,Arsenal,447916,twitter,DannyWelbeck,,
Nacho Monreal,Arsenal,348853,twitter,_nachomonreal,,
Emiliano Martinez,Arsenal,,twitter,emimartinez,,
Mathieu Debuchy,Arsenal,,twitter,MatDebuchy,,
Petr Cech,Arsenal,330263,twitter,PetrCech,,
Theo Walcott,Arsenal,346249,twitter,theowalcott,,
Kieran Gibbs,Arsenal,,twitter,KieranGibbs,,
Calum Chambers,Arsenal,692237,twitter,CalumChambers95,,
Alexis Sanchez,Arsenal,487289,twitter,Alexis_Sanchez,,
Mathieu Flamini,Arsenal,346145,twitter,mathieuflamini,,
David Ospina,Arsenal,399085,twitter,D_Ospina,,
Mohamed ElNeny,Arsenal,595310,twitter,ElNennyM,,
Santi Cazorla,Arsenal,348696,twitter,19SCarzorla,,
Mikel Arteta,Arsenal,346160,twitter,m8arteta,,
Jack Wilshere,Arsenal,466419,twitter,JackWilshere,,
Olivier Giroud,Arsenal,440565,twitter,_OlivierGiroud_,,
Mesut Ozil,Arsenal,345762,twitter,MesutOzil1088,,
Serge Gnabry,Arsenal,705533,twitter,SergeGnabry,,
Joel Campbell,Arsenal,604434,twitter,joel_campbell12,,
Alex Oxlade Chamberlin,Arsenal,540451,twitter,Alex_OxChambo,ox,
Aaron Ramsey,Arsenal,407838,twitter,aaronramsey,rambo,
Chuba Akpom,Arsenal,,twitter,cakpom,,
Hector Bellerin,Arsenal,711689,twitter,HectorBellerin,,
Per Mertesacker,Arsenal,345605,twitter,mertesacker,,
Callum Wilson,Bournemouth,531746,twitter,CallumWilson,,
Joe Partington,Bournemouth,,twitter,partsparts,,
Benjamin Buchel,Bournemouth,,twitter,BeniBuechel,,
Kenwyne Jones,Bournemouth,,twitter,kenwynejonestt,,
Ian Harte,Bournemouth,,twitter,ianharte23,,
Harry Arter,Bournemouth,413165,twitter,HarryArter2,,
Adam Smith,Bournemouth,434972,twitter,AdamSmith912,,
Ryan Fraser,Bournemouth,,twitter,RyanFraser94,,
Marc Pugh,Bournemouth,429690,twitter,MarcPugh7,,
Baily Cargill,Bournemouth,,twitter,b_cargill,,
Tommy Elphick,Bournemouth,422440,twitter,TommyElph4,,
