Name,Team,StatsID,Network,Handle,Alias,RSS
Arseblog,,,,@arseblog,,http://arseblog.com/feed/
The anfield wrap,,,,@TheAnfieldWrap,,http://www.theanfieldwrap.com/feed/
The fighting cock,,,,@LoveTheShirt,,http://www.thefightingcock.co.uk/feed/
Football fancast,,,,@FootballFanCast,,http://www.footballfancast.com/feed
Tribal Football,,,,@tribalfootball,,http://www.tribalfootball.com/rss/mediafed/general/rss.xml
The daily star football,,,,,,http://feeds.feedburner.com/daily-star-Football
Freestyle football federation,,,,@FreeFootWorld,,http://freestylefootball.org/feed/
The people's person,,,,@PeoplesPerson_,,http://thepeoplesperson.com/feed/
Knees up mother brown ,,,,@kumbdotcom,,http://kumb.com/rss.php
A grand old team,,,,@grandoldteam,,https://www.grandoldteam.com/feed/
The mag,,,,@NUFCTheMag,,http://www.themag.co.uk/feed/
Football.co.uk,,,,,,http://www.football.co.uk/news/rss.xml
Copa90,,,,,,https://copa90.com/feed/
Cheekysport.co.uk,,,,,,http://cheekysport.com/feed/
Whoscored.com,,,,,,https://www.whoscored.com/rss
The football ramble podcast,,,,,,http://rss.acast.com/footballramble
Fantasy football scout,,,,,,http://www.fantasyfootballscout.co.uk/feed/
The people's person Manchester United feed,,,,,,http://thepeoplesperson.com/category/manchester-united-first-team/feed/
footballinsider247,,,,,,http://www.footballinsider247.com/feed/
Uni Lad sport,,,,,,http://www.unilad.co.uk/sport/feed/
Andrew Henderson,,,,,,http://www.ahfreestyle.co.uk/about-andrew/feed/
Sports Dictator,,,,,,http://sportsdictator.com/feed/
The boot room ,,,,,,http://tbrfootball.com/feed/
Football league world - Sky bet championship,,,,,,http://footballleagueworld.co.uk/category/sky-bet-championship/feed/
Football league world - League one,,,,,,http://footballleagueworld.co.uk/category/sky-bet-league-one/feed/
Football league world - League two,,,,,,http://footballleagueworld.co.uk/category/sky-bet-league-two/feed/
Arsenal Mania ,,,,,,http://arsenal-mania.com/forum/forums/-/index.rss
Fantasy football scout,,,,,,http://www.fantasyfootballscout.co.uk/feed/
Sportsmole,,,,,,http://www.sportsmole.co.uk/rss.xml
The offside rule ,,,,,,https://offsiderulepodcast.com/feed/
FreshFootball,,,,,,http://freshfootball.co.uk/feed/
Bleacher report world football,,,,,,http://bleacherreport.com/articles/feed?tag_id=20
Bleacher report transfer news ,,,,,,http://bleacherreport.com/articles/feed?tag_id=21489
Bleacher report - premier league,,,,,,http://bleacherreport.com/articles/feed?tag_id=56
Bleacher report - Serie A,,,,,,http://bleacherreport.com/articles/feed?tag_id=59
