name,statsId,network,handle,alias
Arsenal,6145,twitter,Arsenal,"gooners,gunners"
Bournemouth,8260,twitter,afcbournemouth,
Burnley,,twitter,BurnleyOfficial,
Chelsea,6159,twitter,ChelseaFC,
Crystal Palace,7131,twitter,CPFC,
Everton,6149,twitter,Everton,
Hull,,twitter,HullCity,
Leicester,7127,twitter,LCFC,
Liverpool,6140,twitter,LFC,
Mancity,6158,twitter,ManCity,
Manutd,6157,twitter,ManUtd,
Middlesborough,,twitter,Boro,
Southampton,7128,twitter,SouthamptonFC,
Stoke,8246,twitter,stokecity,
Sunderland,7129,twitter,SunderlandAFC,
Swansea,8248,twitter,SwansOfficial,
Tottenham,6154,twitter,SpursOfficial,
Watford,6148,twitter,WatfordFC,
West Brom,7139,twitter,WBA,
West Ham,6143,twitter,whufc_official,
Newcastle,6151,twitter,NUFC,
Aston Villa,6144,twitter,AVFCOfficial,
Norwich,7132,twitter,NorwichCityFC,
